,X,y
0,2.4,0.0
1,2.6,-1.3
2,3.2,-2.7
3,3.6,0.0
4,4.0,-2.7
5,6.2,-2.7
6,6.6,-2.7
7,6.8,-1.3
8,7.8,-2.7
9,8.2,-2.7
10,8.8,-2.0
11,9.6,-2.7
12,10.0,-2.7
13,10.2,-5.4
14,10.6,-2.7
15,11.0,-5.4
16,11.4,0.0
17,13.2,-2.7
18,13.6,-2.7
19,13.8,0.0
20,14.6,-12.033333333333333
21,14.8,-2.7
22,15.4,-40.825
23,15.6,-30.85
24,15.8,-36.15
25,16.0,-34.85
26,16.2,-44.666666666666664
27,16.4,-42.900000000000006
28,16.6,-59.0
29,16.8,-79.93333333333334
30,17.6,-87.025
31,17.8,-101.75
32,18.6,-81.65
33,19.2,-123.1
34,19.4,-78.94999999999999
35,19.6,-127.2
36,20.2,-123.1
37,20.4,-117.9
38,21.2,-134.0
39,21.4,-101.9
40,21.8,-108.4
41,22.0,-123.1
42,23.2,-123.1
43,23.4,-128.5
44,24.0,-112.5
45,24.2,-88.44999999999999
46,24.6,-53.5
47,25.0,-61.0
48,25.4,-58.3
49,25.6,-26.8
50,26.0,-5.4
51,26.2,-64.3
52,26.4,-65.6
53,27.0,-16.0
54,27.2,-20.099999999999998
55,27.6,4.0
56,28.2,12.0
57,28.4,8.0
58,28.6,46.9
59,29.4,-17.4
60,30.2,36.2
61,31.0,75.0
62,31.2,8.1
63,32.0,51.55
64,32.8,46.9
65,33.4,16.0
66,33.8,45.6
67,34.4,1.3
68,34.8,75.0
69,35.2,-35.45
70,35.4,69.6
71,35.6,33.45
72,36.2,-7.35
73,38.0,28.799999999999997
74,39.2,5.4
75,39.4,-1.3
76,40.0,-21.5
77,40.4,-13.3
78,41.6,10.05
79,42.4,29.4
80,42.8,-5.35
81,43.0,14.7
82,44.0,-1.3
83,44.4,0.0
84,45.0,10.7
85,46.6,10.7
86,47.8,-20.75
87,48.8,-13.3
88,50.6,0.0
89,52.0,10.7
90,53.2,-14.7
91,55.0,3.9999999999999996
92,55.4,-2.7
93,57.6,10.7
