,age,numclaims
0,3,0
1,0,0
2,2,0
3,3,1
4,0,0
5,1,0
6,1,0
7,3,0
8,0,0
9,2,0
10,2,0
11,1,0
12,2,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,0,0
19,3,0
20,0,0
21,2,0
22,2,0
23,1,0
24,0,0
25,2,1
26,3,0
27,1,0
28,2,0
29,1,0
30,1,0
31,1,0
32,3,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,0,0
39,2,1
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,0,0
48,0,0
49,2,0
50,1,1
51,1,0
52,2,0
53,1,0
54,3,0
55,3,0
56,0,0
57,2,0
58,2,0
59,2,1
60,3,0
61,2,0
62,1,0
63,1,0
64,1,0
65,2,0
66,3,0
67,1,0
68,1,0
69,1,0
70,2,0
71,1,0
72,1,0
73,1,0
74,0,0
75,1,0
76,1,0
77,3,0
78,2,0
79,3,0
80,3,0
81,1,0
82,1,0
83,3,0
84,1,0
85,1,0
86,1,0
87,1,0
88,3,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,3,0
96,3,0
97,3,0
98,2,0
99,1,0
100,1,0
101,3,0
102,1,0
103,2,0
104,2,0
105,1,0
106,1,0
107,1,0
108,0,0
109,1,0
110,0,0
111,3,0
112,1,0
113,2,0
114,3,0
115,0,0
116,0,0
117,2,0
118,3,0
119,1,0
120,2,0
121,1,0
122,3,0
123,1,1
124,0,0
125,2,0
126,3,0
127,0,0
128,2,0
129,1,0
130,0,0
131,1,0
132,2,0
133,2,0
134,0,0
135,2,0
136,1,0
137,1,0
138,0,0
139,1,0
140,2,0
141,2,0
142,0,0
143,1,0
144,0,0
145,0,0
146,1,0
147,1,0
148,1,0
149,0,0
150,2,0
151,0,0
152,2,0
153,0,0
154,3,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,2,0
162,1,0
163,0,0
164,2,1
165,2,0
166,1,0
167,1,1
168,2,0
169,1,0
170,2,0
171,3,0
172,3,0
173,3,0
174,1,0
175,2,0
176,1,0
177,1,0
178,1,0
179,0,0
180,1,0
181,3,0
182,1,0
183,0,0
184,0,0
185,1,0
186,1,0
187,1,0
188,0,0
189,3,0
190,0,0
191,2,0
192,1,0
193,2,0
194,2,0
195,1,0
196,0,0
197,0,0
198,2,0
199,0,0
200,2,0
201,1,0
202,1,0
203,2,0
204,3,0
205,1,0
206,0,1
207,2,0
208,0,0
209,0,0
210,1,0
211,3,0
212,1,0
213,2,0
214,1,0
215,3,0
216,3,0
217,3,1
218,3,0
219,1,0
220,1,0
221,3,0
222,2,1
223,0,0
224,1,0
225,1,0
226,1,0
227,0,0
228,0,0
229,3,0
230,1,0
231,1,0
232,0,0
233,2,0
234,3,0
235,0,0
236,3,0
237,0,0
238,2,0
239,2,1
240,0,0
241,0,0
242,0,0
243,0,1
244,1,0
245,3,0
246,1,0
247,2,0
248,1,0
249,1,0
250,1,0
251,1,0
252,1,0
253,0,0
254,2,0
255,1,0
256,2,0
257,0,0
258,1,0
259,0,0
260,1,0
261,2,0
262,1,0
263,1,0
264,2,0
265,1,0
266,0,0
267,1,0
268,1,0
269,3,0
270,1,0
271,1,0
272,0,0
273,2,0
274,0,0
275,0,0
276,0,0
277,1,1
278,3,0
279,3,0
280,2,0
281,1,0
282,2,0
283,2,0
284,3,0
285,2,0
286,3,0
287,3,0
288,3,3
289,2,0
290,2,0
291,0,0
292,1,0
293,3,0
294,0,0
295,1,0
296,1,0
297,2,0
298,1,0
299,2,0
300,1,0
301,1,0
302,0,0
303,1,0
304,2,0
305,0,0
306,0,0
307,0,0
308,0,0
309,2,0
310,1,0
311,1,0
312,1,0
313,0,0
314,1,0
315,3,0
316,0,0
317,1,0
318,3,0
319,2,0
320,3,0
321,1,0
322,3,0
323,1,0
324,3,0
325,3,0
326,0,0
327,1,0
328,1,0
329,1,0
330,1,0
331,1,0
332,1,0
333,1,0
334,1,0
335,3,1
336,1,0
337,1,0
338,1,0
339,0,0
340,1,0
341,1,0
342,2,0
343,3,0
344,1,0
345,0,0
346,3,0
347,3,0
348,1,0
349,3,0
350,1,0
351,0,1
352,1,0
353,1,0
354,0,0
355,2,0
356,1,0
357,1,0
358,1,0
359,1,0
360,0,0
361,1,0
362,0,0
363,1,0
364,0,0
365,0,0
366,2,0
367,1,0
368,0,0
369,3,0
370,0,0
371,1,0
372,1,0
373,1,0
374,1,0
375,1,0
376,0,0
377,1,1
378,1,0
379,1,0
380,1,1
381,1,0
382,1,0
383,0,0
384,3,0
385,3,0
386,3,0
387,1,0
388,3,0
389,3,0
390,2,0
391,3,0
392,2,0
393,2,0
394,1,0
395,2,0
396,1,1
397,1,0
398,1,0
399,2,0
400,2,0
401,0,0
402,2,0
403,1,1
404,0,0
405,1,0
406,1,0
407,1,0
408,1,0
409,3,0
410,1,0
411,1,0
412,1,0
