,age,numclaims,veh_age,veh_value
0,3,0,1,1.47
1,0,0,1,1.38
2,2,0,0,7.04
3,3,1,2,1.66
4,0,0,0,1.95
5,1,0,2,3.0
6,1,0,1,2.61
7,3,0,0,1.94
8,0,0,3,1.13
9,2,0,2,2.9
10,2,0,1,2.58
11,1,0,3,1.84
12,2,0,1,5.39
13,1,0,2,1.13
14,1,0,1,1.75
15,1,0,3,0.54
16,1,0,1,1.75
17,1,0,3,1.51
18,0,0,1,1.31
19,3,0,2,1.13
20,0,0,2,1.39
21,2,0,3,0.41
22,2,0,0,2.65
23,1,0,0,3.21
24,0,0,1,1.98
25,2,1,3,1.92
26,3,0,0,5.14
27,1,0,3,0.65
28,2,0,1,3.73
29,1,0,3,1.5
30,1,0,1,1.0
31,1,0,2,1.22
32,3,0,3,1.01
33,1,0,3,0.39
34,1,0,3,0.58
35,1,0,3,1.53
36,1,0,3,1.12
37,1,0,0,2.0
38,0,0,3,0.9
39,2,1,1,4.32
40,1,0,3,0.47
41,1,0,1,1.61
42,1,0,0,1.578
43,1,0,3,1.07
44,1,0,3,0.2
45,1,0,3,0.3
46,1,0,1,1.37
47,0,0,0,2.04
48,0,0,0,2.29
49,2,0,2,1.62
50,1,1,0,3.47
51,1,0,1,1.26
52,2,0,0,2.82
53,1,0,3,0.39
54,3,0,2,1.18
55,3,0,2,1.16
56,0,0,3,1.64
57,2,0,2,2.3
58,2,0,2,1.39
59,2,1,1,3.3
60,3,0,2,1.77
61,2,0,1,1.85
62,1,0,3,1.51
63,1,0,1,4.09
64,1,0,2,2.54
65,2,0,3,0.9
66,3,0,1,1.64
67,1,0,1,1.74
68,1,0,2,0.84
69,1,0,3,0.62
70,2,0,0,2.91
71,1,0,2,4.3
72,1,0,3,0.41
73,1,0,0,2.44
74,0,0,2,1.07
75,1,0,0,2.389
76,1,0,3,0.6
77,3,0,3,0.6
78,2,0,3,1.67
79,3,0,3,0.51
80,3,0,3,0.39
81,1,0,0,2.94
82,1,0,3,0.41
83,3,0,1,1.85
84,1,0,2,3.14
85,1,0,2,1.06
86,1,0,2,1.36
87,1,0,0,6.51
88,3,0,3,0.5
89,1,0,1,3.4
90,1,0,3,0.84
91,1,0,2,1.29
92,1,0,0,6.64
93,1,0,3,0.44
94,1,0,3,1.36
95,3,0,1,1.71
96,3,0,2,0.98
97,3,0,0,2.23
98,2,0,3,1.22
99,1,0,3,1.16
100,1,0,0,4.28
101,3,0,3,0.45
102,1,0,0,2.5
